时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
1天前发布,高级Python开发工程师,深圳·南山区,20k-25k,经验5-10年 / 本科,微思敦,移动互联网,"广告营销 / 不需要融资 / 50-150人	大数据","五险一金,周末双休,年终奖,出国游"
1天前发布,Django/Python/后端开发,上海·静安寺,20k-35k,经验3-5年 / 本科,Seedlink,移动互联网,"企业服务 / A轮 / 15-50人	股票期权扁平管理年终分红五险一金",发展前景好、学习发展快
1天前发布,高级python开发工程师,深圳·科技园,18k-36k,经验3-5年 / 本科,达观数据,"移动互联网 / B轮 / 50-150人	企业服务大数据后端C++机器学习","人工智能,准独角兽,技术氛围浓,发展空间",
2天前发布,python/爬虫开发,杭州·仓前,8k-15k,经验1-3年 / 本科,康策网络,移动互联网,"医疗健康 / 不需要融资 / 50-150人	Java","数据抓取,pytho"
1天前发布,Python开发工程师,北京·五道口,15k-30k,经验1-3年 / 本科,iHandy,"移动互联网 / 不需要融资 / 150-500人	服务器端JavaNode.js","六险一金,水果零食多,按摩椅,大牛云集",
2天前发布,高级python研发工程师,北京·西三旗,20k-30k,经验3-5年 / 本科,源清慧虹,信息安全,"数据服务 / B轮 / 50-150人	大数据数据架构数据分析数据库开发","二次医疗,健身场所,福利补助"
2天前发布,资深python研发工程师,北京·CBD,28k-40k,经验5-10年 / 本科,中云网安,"数据服务 / A轮 / 15-50人	信息安全","技术前沿,人工智能",
3天前发布,Python高级开发工程师,上海·长征,15k-30k,经验3-5年 / 本科,饿了么,"移动互联网 / D轮及以上 / 2000人以上	节日礼物绩效奖金年度旅游岗位晋升",团队好玩 快速成长 Aeron椅 标配MBP,
1天前发布,Python web开发工程师,广州·天园,15k-25k,经验3-5年 / 本科,擎天柱,"游戏 / 不需要融资 / 150-500人	游戏后端平台","年底双薪,周末双休,节日福利,培训晋升",
2018/10/29,高级Python工程师,北京·望京,20k-35k,经验1-3年 / 本科,天桐互动,"移动互联网 / A轮 / 15-50人	云计算","期权激励,扁平化管理,五险一金,年底双薪",
1天前发布,Python中级开发工程师,上海,10k-18k,经验1-3年 / 本科,易路,移动互联网,"企业服务 / A轮 / 50-150人	技能培训年底双薪绩效奖金岗位晋升",高薪福利，弹性工作，五险一金
2天前发布,高级python开发工程师,北京·大望路,15k-30k,经验1-3年 / 本科,她理财,移动互联网,"金融 / A轮 / 50-150人	年底双薪节日礼物技能培训绩效奖金",互联网金融 无天花板 六险一金 期权激励
2018/10/30,高级Python工程师,上海·闵行区,25k-40k,经验3-5年 / 本科,上海砸立,移动互联网,"电子商务 / B轮 / 50-150人	广告营销电商",出外旅行 技术大牛 美女如云 扁平化管理
2天前发布,Python资深开发,上海·徐汇区,12k-24k,经验3-5年 / 本科,问卷网@爱调研,"移动互联网 / B轮 / 150-500人	技能培训节日礼物年底双薪绩效奖金","带薪年假,股票期权,下午茶,季度旅游",
2天前发布,资深python研发工程师,深圳·岗厦,20k-40k,经验5-10年 / 本科,Gridsum 国双,数据服务,"企业服务 / 上市公司 / 500-2000人	大数据云计算",上市公司 发挥空间 折腾技术 牛人多
1天前发布,Python,北京·朝阳区,30k-60k,经验3-5年 / 本科,Cobo Wallet,"移动互联网 信息安全 / A轮 / 15-50人	Node.jsRuby","股权激励,成长空间,大牛团队,良好环境",
1天前发布,Java/Python开发工程师（19届）,北京·望京,12k-24k,经验应届毕业生 / 本科,陌陌,"社交网络 / 上市公司 / 500-2000人	社交移动互联网","每日下午茶,舒适的环境,可爱的伙伴",
1天前发布,Python高级开发工程师,广州·林和,10k-20k,经验3-5年 / 本科,乐至科技,"移动互联网 / 不需要融资 / 15-50人	云计算Java云计算","环境好,待遇优,福利好,人际简单",
